danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.558,0.945,5,-0.478,0,0.0668,0.125,0.0,0.14,0.51,102.007,audio_features,0PtC7mJhZWaJXpXdwDIFhQ,spotify:track:0PtC7mJhZWaJXpXdwDIFhQ,https://api.spotify.com/v1/tracks/0PtC7mJhZWaJXpXdwDIFhQ,https://api.spotify.com/v1/audio-analysis/0PtC7mJhZWaJXpXdwDIFhQ,250283,4
0.397,0.995,4,-0.488,0,0.146,0.000318,0.00283,0.288,0.538,154.912,audio_features,1MwC2xyon5TDKUwLinIWWV,spotify:track:1MwC2xyon5TDKUwLinIWWV,https://api.spotify.com/v1/tracks/1MwC2xyon5TDKUwLinIWWV,https://api.spotify.com/v1/audio-analysis/1MwC2xyon5TDKUwLinIWWV,210267,4
0.633,0.991,3,-0.49,0,0.107,0.00756,0.0,0.313,0.655,120.042,audio_features,0TwYi9bddgARM3QWEDZiiO,spotify:track:0TwYi9bddgARM3QWEDZiiO,https://api.spotify.com/v1/tracks/0TwYi9bddgARM3QWEDZiiO,https://api.spotify.com/v1/audio-analysis/0TwYi9bddgARM3QWEDZiiO,261242,4
0.427,0.966,5,-0.492,1,0.0895,0.332,2.73e-05,0.0368,0.725,172.667,audio_features,2vKK2J9JLSHXwxz2njJvph,spotify:track:2vKK2J9JLSHXwxz2njJvph,https://api.spotify.com/v1/tracks/2vKK2J9JLSHXwxz2njJvph,https://api.spotify.com/v1/audio-analysis/2vKK2J9JLSHXwxz2njJvph,223640,4
0.368,0.977,5,-0.493,1,0.105,0.0169,0.0,0.397,0.325,180.082,audio_features,3Y55AfuHLUFTQEixZJI5VU,spotify:track:3Y55AfuHLUFTQEixZJI5VU,https://api.spotify.com/v1/tracks/3Y55AfuHLUFTQEixZJI5VU,https://api.spotify.com/v1/audio-analysis/3Y55AfuHLUFTQEixZJI5VU,225080,4
0.638,0.944,7,-0.502,0,0.0568,0.0015,0.0,0.289,0.914,114.98,audio_features,0YWDyaVCYEehkFgHWw9M28,spotify:track:0YWDyaVCYEehkFgHWw9M28,https://api.spotify.com/v1/tracks/0YWDyaVCYEehkFgHWw9M28,https://api.spotify.com/v1/audio-analysis/0YWDyaVCYEehkFgHWw9M28,227973,4
0.587,0.975,9,-0.526,1,0.203,0.195,0.0,0.0185,0.817,180.139,audio_features,640cOeje6h9PHYEBNnlXFw,spotify:track:640cOeje6h9PHYEBNnlXFw,https://api.spotify.com/v1/tracks/640cOeje6h9PHYEBNnlXFw,https://api.spotify.com/v1/audio-analysis/640cOeje6h9PHYEBNnlXFw,206907,4
0.662,0.975,7,-0.544,1,0.0318,0.063,0.0111,0.148,0.806,127.995,audio_features,5hJO3V0WVGPSSJEHRQCqIC,spotify:track:5hJO3V0WVGPSSJEHRQCqIC,https://api.spotify.com/v1/tracks/5hJO3V0WVGPSSJEHRQCqIC,https://api.spotify.com/v1/audio-analysis/5hJO3V0WVGPSSJEHRQCqIC,221250,4
0.467,0.951,0,-0.57,0,0.118,0.0592,8.84e-05,0.168,0.717,155.978,audio_features,4A3opidzIyGEdcmo5YRCJZ,spotify:track:4A3opidzIyGEdcmo5YRCJZ,https://api.spotify.com/v1/tracks/4A3opidzIyGEdcmo5YRCJZ,https://api.spotify.com/v1/audio-analysis/4A3opidzIyGEdcmo5YRCJZ,203240,4
0.394,0.99,10,-0.589,0,0.188,0.0365,0.0,0.174,0.269,188.954,audio_features,45UI1yzA7vjkWHoAUZ8nGp,spotify:track:45UI1yzA7vjkWHoAUZ8nGp,https://api.spotify.com/v1/tracks/45UI1yzA7vjkWHoAUZ8nGp,https://api.spotify.com/v1/audio-analysis/45UI1yzA7vjkWHoAUZ8nGp,234093,4
